Date,Open,High,Low,Close,Adj Close,Volume
9/3/19,136.61,137.2,135.7,136.04,136.04,18869300
9/4/19,137.3,137.69,136.48,137.63,137.63,17995900
9/5/19,139.11,140.38,138.76,140.05,140.05,26101800
9/6/19,140.03,140.18,138.2,139.1,139.1,20824500
9/9/19,139.59,139.75,136.46,137.52,137.52,25773900
9/10/19,136.8,136.89,134.51,136.08,136.08,28903400
9/11/19,135.91,136.27,135.09,136.12,136.12,24726100
9/12/19,137.85,138.42,136.87,137.52,137.52,27010000
9/13/19,137.78,138.06,136.57,137.32,137.32,23363100
9/16/19,135.83,136.7,135.66,136.33,136.33,16731400
9/17/19,136.96,137.52,136.43,137.39,137.39,17814200
9/18/19,137.36,138.67,136.53,138.52,138.52,23982100
9/19/19,140.3,142.37,140.07,141.07,141.07,35772100
9/20/19,141.01,141.65,138.25,139.44,139.44,39167300
9/23/19,139.23,139.63,138.44,139.14,139.14,17139300
9/24/19,140.36,140.69,136.88,137.38,137.38,29773200
9/25/19,137.5,139.96,136.03,139.36,139.36,21382000
9/26/19,139.44,140.18,138.44,139.54,139.54,17456600
9/27/19,140.15,140.36,136.65,137.73,137.73,22477700
9/30/19,138.05,139.22,137.78,139.03,139.03,17280900
